"Table 11 Housing market: simple average house prices, by new/other dwellings, type of buyer and  region, United Kingdom, from 1992 (quarterly) 1, 2, 3 (previously DCLG table 504)",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,New dwellings,,Other dwellings4,,All dwellings,,First time buyers,,Former owner occupiers,,,,,,,,,,,,,,,
,,,,Price,,Price,,Price,,Price,,Price,,,,,,,,,,,,,,,
,,,,£,,£,,£,,£,,£,,,,,,,,,,,,,,,
United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,
K02000001,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Q2,,"111,000 ",,"104,000 ",,"105,000 ",,"69,000 ",,"139,000 ",,,,,,,,,,,,,,,
,,Q3,,"111,000 ",,"109,000 ",,"110,000 ",,"79,000 ",,"143,000 ",,,,,,,,,,,,,,,
,,Q4,,"119,000 ",,"104,000 ",,"104,000 ",,"77,000 ",,"134,000 ",,,,,,,,,,,,,,,
,1998,Q1,,"117,000 ",,"105,000 ",,"106,000 ",,"78,000 ",,"137,000 ",,,,,,,,,,,,,,,
,,Q2,,"126,000 ",,"115,000 ",,"115,000 ",,"90,000 ",,"148,000 ",,,,,,,,,,,,,,,
,,Q3,,"126,000 ",,"120,000 ",,"121,000 ",,"101,000 ",,"150,000 ",,,,,,,,,,,,,,,
,,Q4,,"133,000 ",,"119,000 ",,"119,000 ",,"92,000 ",,"152,000 ",,,,,,,,,,,,,,,
,1999,Q1,,"145,000 ",,"125,000 ",,"126,000 ",,"99,000 ",,"156,000 ",,,,,,,,,,,,,,,
,,Q2,,"192,000 ",,"134,000 ",,"137,000 ",,"116,000 ",,"167,000 ",,,,,,,,,,,,,,,
,,Q3,,"186,000 ",,"148,000 ",,"150,000 ",,"120,000 ",,"184,000 ",,,,,,,,,,,,,,,
,,Q4,,"185,000 ",,"149,000 ",,"151,000 ",,"121,000 ",,"185,000 ",,,,,,,,,,,,,,,
,2000,Q1,,"170,000 ",,"156,000 ",,"156,000 ",,"130,000 ",,"188,000 ",,,,,,,,,,,,,,,
,,Q2,,"209,000 ",,"165,000 ",,"167,000 ",,"122,000 ",,"218,000 ",,,,,,,,,,,,,,,
,,Q3,,"203,000 ",,"159,000 ",,"161,000 ",,"124,000 ",,"200,000 ",,,,,,,,,,,,,,,
,,Q4,,"260,000 ",,"165,000 ",,"170,000 ",,"125,000 ",,"215,000 ",,,,,,,,,,,,,,,
,2001,Q1,,"215,000 ",,"176,000 ",,"173,000 ",,"137,000 ",,"210,000 ",,,,,,,,,,,,,,,
,,Q2,,"208,000 ",,"189,000 ",,"184,000 ",,"141,000 ",,"224,000 ",,,,,,,,,,,,,,,
,,Q3,,"238,000 ",,"185,000 ",,"187,000 ",,"143,000 ",,"231,000 ",,,,,,,,,,,,,,,
,,Q4,,"207,000 ",,"182,000 ",,"183,000 ",,"144,000 ",,"219,000 ",,,,,,,,,,,,,,,
,2002,Q1,,"197,000 ",,"183,000 ",,"184,000 ",,"149,000 ",,"209,000 ",,,,,,,,,,,,,,,
,,Q2,,"233,000 ",,"203,000 ",,"206,000 ",,"163,000 ",,"231,000 ",,,,,,,,,,,,,,,
,,Q3,,"258,000 ",,"219,000 ",,"222,000 ",,"185,000 ",,"246,000 ",,,,,,,,,,,,,,,
,,Q4,,"249,000 ",,"209,000 ",,"210,000 ",,"178,000 ",,"227,000 ",,,,,,,,,,,,,,,
,2003,Q1,,"281,000 ",,"215,000 ",,"217,000 ",,"176,000 ",,"229,000 ",,,,,,,,,,,,,,,
,,Q2,,"319,000 ",,"218,000 ",,"224,000 ",,"181,000 ",,"245,000 ",,,,,,,,,,,,,,,
,,Q3,,"326,000 ",,"250,000 ",,"252,000 ",,"179,000 ",,"285,000 ",,,,,,,,,,,,,,,
,,Q4,,"314,000 ",,"252,000 ",,"254,000 ",,"187,000 ",,"280,000 ",,,,,,,,,,,,,,,
,2004,Q1,,"314,000 ",,"260,000 ",,"264,000 ",,"194,000 ",,"294,000 ",,,,,,,,,,,,,,,
,,Q2,,"319,000 ",,"274,000 ",,"277,000 ",,"204,000 ",,"303,000 ",,,,,,,,,,,,,,,
,,Q3,,"309,000 ",,"276,000 ",,"281,000 ",,"211,000 ",,"306,000 ",,,,,,,,,,,,,,,
,,Q4,,"300,000 ",,"265,000 ",,"269,000 ",,"207,000 ",,"294,000 ",,,,,,,,,,,,,,,
,2005,Q1,,"307,000 ",,"270,000 ",,"273,000 ",,"208,000 ",,"299,000 ",,,,,,,,,,,,,,,
,,Q2,,"330,000 ",,"282,000 ",,"287,000 ",,"217,000 ",,"311,000 ",,,,,,,,,,,,,,,
,,Q3,,"326,000 ",,"294,000 ",,"296,000 ",,"223,000 ",,"326,000 ",,,,,,,,,,,,,,,
,,Q4,,"294,000 ",,"273,000 ",,"274,000 ",,"216,000 ",,"328,000 ",,,,,,,,,,,,,,,
,2006,Q1,,"276,000 ",,"294,000 ",,"293,000 ",,"229,000 ",,"348,000 ",,,,,,,,,,,,,,,
,,Q2,,"288,000 ",,"304,000 ",,"303,000 ",,"238,000 ",,"356,000 ",,,,,,,,,,,,,,,
,,Q3,,"267,000 ",,"317,000 ",,"315,000 ",,"241,000 ",,"376,000 ",,,,,,,,,,,,,,,
,,Q4,,"277,000 ",,"313,000 ",,"311,000 ",,"240,000 ",,"369,000 ",,,,,,,,,,,,,,,
,2007,Q1,,"271,000 ",,"336,000 ",,"333,000 ",,"250,000 ",,"398,000 ",,,,,,,,,,,,,,,
,,Q2,,"284,000 ",,"343,000 ",,"340,000 ",,"258,000 ",,"405,000 ",,,,,,,,,,,,,,,
,,Q3,,"250,000 ",,"361,000 ",,"355,000 ",,"268,000 ",,"424,000 ",,,,,,,,,,,,,,,
,,Q4,,"255,000 ",,"347,000 ",,"341,000 ",,"259,000 ",,"407,000 ",,,,,,,,,,,,,,,
,2008,Q1,,"259,000 ",,"350,000 ",,"345,000 ",,"255,000 ",,"418,000 ",,,,,,,,,,,,,,,
,,Q2,,"293,000 ",,"359,000 ",,"355,000 ",,"271,000 ",,"422,000 ",,,,,,,,,,,,,,,
,,Q3,,"261,000 ",,"366,000 ",,"360,000 ",,"272,000 ",,"426,000 ",,,,,,,,,,,,,,,
,,Q4,,"243,000 ",,"351,000 ",,"346,000 ",,"252,000 ",,"417,000 ",,,,,,,,,,,,,,,
,2009,Q1,,"249,000 ",,"330,000 ",,"327,000 ",,"234,000 ",,"410,000 ",,,,,,,,,,,,,,,
,,Q2,,"204,000 ",,"330,000 ",,"323,000 ",,"243,000 ",,"392,000 ",,,,,,,,,,,,,,,
,,Q3,,"205,000 ",,"361,000 ",,"352,000 ",,"267,000 ",,"427,000 ",,,,,,,,,,,,,,,
,,Q4,,"229,000 ",,"357,000 ",,"350,000 ",,"273,000 ",,"422,000 ",,,,,,,,,,,,,,,
,2010,Q1,,"234,000 ",,"385,000 ",,"380,000 ",,"290,000 ",,"455,000 ",,,,,,,,,,,,,,,
,,Q2,,"264,000 ",,"388,000 ",,"381,000 ",,"297,000 ",,"456,000 ",,,,,,,,,,,,,,,
,,Q3,,"272,000 ",,"402,000 ",,"397,000 ",,"302,000 ",,"478,000 ",,,,,,,,,,,,,,,
,,Q4,,"253,000 ",,"388,000 ",,"380,000 ",,"285,000 ",,"464,000 ",,,,,,,,,,,,,,,
,2011,Q1,,"257,000 ",,"409,000 ",,"401,000 ",,"296,000 ",,"491,000 ",,,,,,,,,,,,,,,
,,Q2,,"295,000 ",,"398,000 ",,"396,000 ",,"303,000 ",,"481,000 ",,,,,,,,,,,,,,,
,,Q3,,"301,000 ",,"411,000 ",,"414,000 ",,"318,000 ",,"491,000 ",,,,,,,,,,,,,,,
,,Q4,,"349,000 ",,"390,000 ",,"395,000 ",,"298,000 ",,"476,000 ",,,,,,,,,,,,,,,
,2012,Q1,,"327,000 ",,"381,000 ",,"384,000 ",,"296,000 ",,"469,000 ",,,,,,,,,,,,,,,
,,Q2,,"335,000 ",,"419,000 ",,"422,000 ",,"331,000 ",,"494,000 ",,,,,,,,,,,,,,,
,,Q3,,"313,000 ",,"426,000 ",,"429,000 ",,"331,000 ",,"513,000 ",,,,,,,,,,,,,,,
,,Q4,,"328,000 ",,"408,000 ",,"407,000 ",,"313,000 ",,"496,000 ",,,,,,,,,,,,,,,
,2013,Q1,,"357,000 ",,"399,000 ",,"405,000 ",,"310,000 ",,"502,000 ",,,,,,,,,,,,,,,
,,Q2,,"384,000 ",,"421,000 ",,"427,000 ",,"342,000 ",,"523,000 ",,,,,,,,,,,,,,,
,,Q3,,"341,000 ",,"446,000 ",,"449,000 ",,"346,000 ",,"560,000 ",,,,,,,,,,,,,,,
,,Q4,,"365,000 ",,"429,000 ",,"430,000 ",,"334,000 ",,"536,000 ",,,,,,,,,,,,,,,
,2014,Q1,,"423,000 ",,"447,000 ",,"452,000 ",,"347,000 ",,"570,000 ",,,,,,,,,,,,,,,
,,Q2,,"511,000 ",,"476,000 ",,"479,000 ",,"374,000 ",,"594,000 ",,,,,,,,,,,,,,,
,,Q3,,"441,000 ",,"497,000 ",,"490,000 ",,"376,000 ",,"614,000 ",,,,,,,,,,,,,,,
,,Q4,,"467,000 ",,"458,000 ",,"457,000 ",,"356,000 ",,"573,000 ",,,,,,,,,,,,,,,
,2015,Q1,,"477,000 ",,"476,000 ",,"477,000 ",,"361,000 ",,"619,000 ",,,,,,,,,,,,,,,
,,Q2,,"527,000 ",,"495,000 ",,"499,000 ",,"376,000 ",,"636,000 ",,,,,,,,,,,,,,,
,,Q3,,"459,000 ",,"555,000 ",,"547,000 ",,"398,000 ",,"696,000 ",,,,,,,,,,,,,,,
,,Q4,,"472,000 ",,"545,000 ",,"533,000 ",,"395,000 ",,"676,000 ",,,,,,,,,,,,,,,
,2016,Q1,,"454,000 ",,"573,000 ",,"561,000 ",,"414,000 ",,"703,000 ",,,,,,,,,,,,,,,
,,Q2,,"462,000 ",,"514,000 ",,"508,000 ",,"404,000 ",,"671,000 ",,,,,,,,,,,,,,,
,,Q3,,"458,000 ",,"542,000 ",,"535,000 ",,"417,000 ",,"689,000 ",,,,,,,,,,,,,,,
,,Q4,,"499,000 ",,"537,000 ",,"532,000 ",,"420,000 ",,"678,000 ",,,,,,,,,,,,,,,
,2017,Q1,,"448,000 ",,"541,000 ",,"526,000 ",,"412,000 ",,"677,000 ",,,,,,,,,,,,,,,
,,Q2,,"488,000 ",,"554,000 ",,"543,000 ",,"431,000 ",,"690,000 ",,,,,,,,,,,,,,,
,,Q3,,"453,000 ",,"562,000 ",,"548,000 ",,"429,000 ",,"694,000 ",,,,,,,,,,,,,,,
,,Q4,,"501,000 ",,"531,000 ",,"526,000 ",,"418,000 ",,"664,000 ",,,,,,,,,,,,,,,
,2018,Q1,,"452,000 ",,"545,000 ",,"530,000 ",,"420,000 ",,"682,000 ",,,,,,,,,,,,,,,
,,Q2,,"495,000 ",,"550,000 ",,"541,000 ",,"436,000 ",,"688,000 ",,,,,,,,,,,,,,,
,,Q3,,"479,000 ",,"565,000 ",,"553,000 ",,"436,000 ",,"715,000 ",,,,,,,,,,,,,,,
,,Q4,,"483,000 ",,"537,000 ",,"528,000 ",,"422,000 ",,"681,000 ",,,,,,,,,,,,,,,
,2019,Q1,,"460,000 ",,"533,000 ",,"520,000 ",,"420,000 ",,"670,000 ",,,,,,,,,,,,,,,
,,Q2,,"482,000 ",,"546,000 ",,"534,000 ",,"431,000 ",,"691,000 ",,,,,,,,,,,,,,,
,,Q3,,"463,000 ",,"567,000 ",,"550,000 ",,"429,000 ",,"719,000 ",,,,,,,,,,,,,,,
,,Q4,,"477,000 ",,"562,000 ",,"549,000 ",,"433,000 ",,"707,000 ",,,,,,,,,,,,,,,
,2020,Q1,,"473,000 ",,"567,000 ",,"551,000 ",,"436,000 ",,"724,000 ",,,,,,,,,,,,,,,
,,Q2,,"447,000 ",,"559,000 ",,"540,000 ",,"433,000 ",,"719,000 ",,,,,,,,,,,,,,,
,,Q3,,"483,000 ",,"633,000 ",,"607,000 ",,"481,000 ",,"785,000 ",,,,,,,,,,,,,,,
,,Q4,,"482,000 ",,"627,000 ",,"603,000 ",,"478,000 ",,"772,000 ",,,,,,,,,,,,,,,
,2021,Q1,,"458,000 ",,"615,000 ",,"594,000 ",,"476,000 ",,"740,000 ",,,,,,,,,,,,,,,
,,Q2,,"469,000 ",,"625,000 ",,"604,000 ",,"478,000 ",,"770,000 ",,,,,,,,,,,,,,,
,,Q3,,"419,000 ",,"642,000 ",,"609,000 ",,"449,000 ",,"863,000 ",,,,,,,,,,,,,,,
,,Q4,,"457,000 ",,"632,000 ",,"604,000 ",,"449,000 ",,"865,000 ",,,,,,,,,,,,,,,
,2022,Q1,,"464,000 ",,"641,000 ",,"614,000 ",,"470,000 ",,"852,000 ",,,,,,,,,,,,,,,
,,Q2,,"471,000 ",,"650,000 ",,"620,000 ",,"478,000 ",,"858,000 ",,,,,,,,,,,,,,,
,,Q3,,"449,000 ",,"674,000 ",,"638,000 ",,"490,000 ",,"877,000 ",,,,,,,,,,,,,,,
,,Q4,,"426,000 ",,"616,000 ",,"582,000 ",,"461,000 ",,"798,000 ",,,,,,,,,,,,,,,
,2023,Q1,,"402,000 ",,"606,000 ",,"563,000 ",,"444,000 ",,"791,000 ",,,,,,,,,,,,,,,
,,Q2,,"392,000 ",,"618,000 ",,"591,000 ",,"462,000 ",,"810,000 ",,,,,,,,,,,,,,,
,,Q3,,"377,000 ",,"652,000 ",,"626,000 ",,"478,000 ",,"849,000 ",,,,,,,,,,,,,,,
,,Q4,,"395,000 ",,"601,000 ",,"582,000 ",,"462,000 ",,"783,000 ",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
South East,,,,,,,,,,,,,,,,,,,,,,,,,,,
E12000008,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1992,Q1,,,,,,,,,,,,,,,,,,,,,,,,,
,,Q2,,"98,000 ",,"74,000 ",,"77,000 ",,"54,000 ",,"96,000 ",,,,,,,,,,,,,,,
,,Q3,,"84,000 ",,"76,000 ",,"77,000 ",,"57,000 ",,"98,000 ",,,,,,,,,,,,,,,
,,Q4,,"74,000 ",,"73,000 ",,"74,000 ",,"54,000 ",,"93,000 ",,,,,,,,,,,,,,,
,1993,Q1,,"94,000 ",,"71,000 ",,"74,000 ",,"54,000 ",,"93,000 ",,,,,,,,,,,,,,,
,,Q2,,"87,000 ",,"75,000 ",,"77,000 ",,"60,000 ",,"94,000 ",,,,,,,,,,,,,,,
,,Q3,,"85,000 ",,"76,000 ",,"78,000 ",,"56,000 ",,"99,000 ",,,,,,,,,,,,,,,
,,Q4,,"88,000 ",,"76,000 ",,"79,000 ",,"57,000 ",,"98,000 ",,,,,,,,,,,,,,,
,1994,Q1,,"86,000 ",,"77,000 ",,"79,000 ",,"56,000 ",,"102,000 ",,,,,,,,,,,,,,,
,,Q2,,"90,000 ",,"80,000 ",,"81,000 ",,"58,000 ",,"103,000 ",,,,,,,,,,,,,,,
,,Q3,,"94,000 ",,"81,000 ",,"83,000 ",,"59,000 ",,"104,000 ",,,,,,,,,,,,,,,
,,Q4,,"100,000 ",,"83,000 ",,"86,000 ",,"60,000 ",,"110,000 ",,,,,,,,,,,,,,,
,1995,Q1,,"96,000 ",,"78,000 ",,"80,000 ",,"56,000 ",,"103,000 ",,,,,,,,,,,,,,,
,,Q2,,"103,000 ",,"78,000 ",,"82,000 ",,"56,000 ",,"106,000 ",,,,,,,,,,,,,,,
,,Q3,,"111,000 ",,"83,000 ",,"88,000 ",,"54,000 ",,"112,000 ",,,,,,,,,,,,,,,
,,Q4,,"113,000 ",,"77,000 ",,"81,000 ",,"56,000 ",,"100,000 ",,,,,,,,,,,,,,,
,1996,Q1,,"116,000 ",,"80,000 ",,"84,000 ",,"56,000 ",,"109,000 ",,,,,,,,,,,,,,,
,,Q2,,"113,000 ",,"83,000 ",,"87,000 ",,"58,000 ",,"106,000 ",,,,,,,,,,,,,,,
,,Q3,,"113,000 ",,"89,000 ",,"92,000 ",,"61,000 ",,"111,000 ",,,,,,,,,,,,,,,
,,Q4,,"113,000 ",,"83,000 ",,"85,000 ",,"57,000 ",,"108,000 ",,,,,,,,,,,,,,,
,1997,Q1,,"139,000 ",,"87,000 ",,"92,000 ",,"59,000 ",,"113,000 ",,,,,,,,,,,,,,,
,,Q2,,"119,000 ",,"91,000 ",,"94,000 ",,"60,000 ",,"114,000 ",,,,,,,,,,,,,,,
,,Q3,,"121,000 ",,"96,000 ",,"98,000 ",,"68,000 ",,"117,000 ",,,,,,,,,,,,,,,
,,Q4,,"115,000 ",,"91,000 ",,"94,000 ",,"67,000 ",,"113,000 ",,,,,,,,,,,,,,,
,1998,Q1,,"114,000 ",,"95,000 ",,"97,000 ",,"66,000 ",,"116,000 ",,,,,,,,,,,,,,,
,,Q2,,"131,000 ",,"102,000 ",,"105,000 ",,"76,000 ",,"125,000 ",,,,,,,,,,,,,,,
,,Q3,,"130,000 ",,"111,000 ",,"113,000 ",,"86,000 ",,"131,000 ",,,,,,,,,,,,,,,
,,Q4,,"130,000 ",,"108,000 ",,"111,000 ",,"82,000 ",,"130,000 ",,,,,,,,,,,,,,,
,1999,Q1,,"150,000 ",,"107,000 ",,"112,000 ",,"89,000 ",,"127,000 ",,,,,,,,,,,,,,,
,,Q2,,"173,000 ",,"111,000 ",,"117,000 ",,"88,000 ",,"136,000 ",,,,,,,,,,,,,,,
,,Q3,,"171,000 ",,"124,000 ",,"128,000 ",,"95,000 ",,"144,000 ",,,,,,,,,,,,,,,
,,Q4,,"167,000 ",,"123,000 ",,"126,000 ",,"93,000 ",,"147,000 ",,,,,,,,,,,,,,,
,2000,Q1,,"171,000 ",,"123,000 ",,"128,000 ",,"96,000 ",,"149,000 ",,,,,,,,,,,,,,,
,,Q2,,"168,000 ",,"136,000 ",,"138,000 ",,"103,000 ",,"158,000 ",,,,,,,,,,,,,,,
,,Q3,,"196,000 ",,"146,000 ",,"150,000 ",,"106,000 ",,"172,000 ",,,,,,,,,,,,,,,
,,Q4,,"215,000 ",,"150,000 ",,"155,000 ",,"114,000 ",,"176,000 ",,,,,,,,,,,,,,,
,2001,Q1,,"179,000 ",,"141,000 ",,"144,000 ",,"103,000 ",,"165,000 ",,,,,,,,,,,,,,,
,,Q2,,"200,000 ",,"163,000 ",,"163,000 ",,"119,000 ",,"184,000 ",,,,,,,,,,,,,,,
,,Q3,,"198,000 ",,"160,000 ",,"162,000 ",,"125,000 ",,"182,000 ",,,,,,,,,,,,,,,
,,Q4,,"208,000 ",,"152,000 ",,"156,000 ",,"120,000 ",,"176,000 ",,,,,,,,,,,,,,,
,2002,Q1,,"208,000 ",,"151,000 ",,"156,000 ",,"121,000 ",,"171,000 ",,,,,,,,,,,,,,,
,,Q2,,"213,000 ",,"168,000 ",,"170,000 ",,"139,000 ",,"180,000 ",,,,,,,,,,,,,,,
,,Q3,,"246,000 ",,"189,000 ",,"193,000 ",,"154,000 ",,"209,000 ",,,,,,,,,,,,,,,
,,Q4,,"249,000 ",,"190,000 ",,"194,000 ",,"152,000 ",,"212,000 ",,,,,,,,,,,,,,,
,2003,Q1,,"231,000 ",,"191,000 ",,"194,000 ",,"149,000 ",,"204,000 ",,,,,,,,,,,,,,,
,,Q2,,"233,000 ",,"201,000 ",,"203,000 ",,"150,000 ",,"216,000 ",,,,,,,,,,,,,,,
,,Q3,,"293,000 ",,"220,000 ",,"222,000 ",,"154,000 ",,"234,000 ",,,,,,,,,,,,,,,
,,Q4,,"282,000 ",,"222,000 ",,"224,000 ",,"159,000 ",,"235,000 ",,,,,,,,,,,,,,,
,2004,Q1,,"277,000 ",,"223,000 ",,"226,000 ",,"162,000 ",,"240,000 ",,,,,,,,,,,,,,,
,,Q2,,"274,000 ",,"231,000 ",,"234,000 ",,"168,000 ",,"246,000 ",,,,,,,,,,,,,,,
,,Q3,,"299,000 ",,"242,000 ",,"247,000 ",,"176,000 ",,"258,000 ",,,,,,,,,,,,,,,
,,Q4,,"271,000 ",,"236,000 ",,"241,000 ",,"174,000 ",,"252,000 ",,,,,,,,,,,,,,,
,2005,Q1,,"280,000 ",,"236,000 ",,"240,000 ",,"175,000 ",,"253,000 ",,,,,,,,,,,,,,,
,,Q2,,"272,000 ",,"239,000 ",,"243,000 ",,"179,000 ",,"253,000 ",,,,,,,,,,,,,,,
,,Q3,,"274,000 ",,"250,000 ",,"253,000 ",,"177,000 ",,"272,000 ",,,,,,,,,,,,,,,
,,Q4,,"280,000 ",,"237,000 ",,"238,000 ",,"166,000 ",,"274,000 ",,,,,,,,,,,,,,,
,2006,Q1,,"281,000 ",,"244,000 ",,"245,000 ",,"169,000 ",,"280,000 ",,,,,,,,,,,,,,,
,,Q2,,"264,000 ",,"250,000 ",,"251,000 ",,"174,000 ",,"285,000 ",,,,,,,,,,,,,,,
,,Q3,,"269,000 ",,"267,000 ",,"267,000 ",,"181,000 ",,"303,000 ",,,,,,,,,,,,,,,
,,Q4,,"268,000 ",,"264,000 ",,"265,000 ",,"181,000 ",,"298,000 ",,,,,,,,,,,,,,,
,2007,Q1,,"258,000 ",,"269,000 ",,"269,000 ",,"183,000 ",,"305,000 ",,,,,,,,,,,,,,,
,,Q2,,"260,000 ",,"271,000 ",,"270,000 ",,"188,000 ",,"306,000 ",,,,,,,,,,,,,,,
,,Q3,,"261,000 ",,"292,000 ",,"290,000 ",,"193,000 ",,"329,000 ",,,,,,,,,,,,,,,
,,Q4,,"265,000 ",,"285,000 ",,"283,000 ",,"191,000 ",,"322,000 ",,,,,,,,,,,,,,,
,2008,Q1,,"262,000 ",,"286,000 ",,"284,000 ",,"191,000 ",,"325,000 ",,,,,,,,,,,,,,,
,,Q2,,"267,000 ",,"288,000 ",,"286,000 ",,"196,000 ",,"325,000 ",,,,,,,,,,,,,,,
,,Q3,,"252,000 ",,"296,000 ",,"293,000 ",,"201,000 ",,"334,000 ",,,,,,,,,,,,,,,
,,Q4,,"232,000 ",,"281,000 ",,"278,000 ",,"187,000 ",,"321,000 ",,,,,,,,,,,,,,,
,2009,Q1,,"208,000 ",,"271,000 ",,"268,000 ",,"186,000 ",,"309,000 ",,,,,,,,,,,,,,,
,,Q2,,"237,000 ",,"266,000 ",,"264,000 ",,"183,000 ",,"303,000 ",,,,,,,,,,,,,,,
,,Q3,,"228,000 ",,"287,000 ",,"284,000 ",,"190,000 ",,"324,000 ",,,,,,,,,,,,,,,
,,Q4,,"245,000 ",,"282,000 ",,"280,000 ",,"197,000 ",,"317,000 ",,,,,,,,,,,,,,,
,2010,Q1,,"268,000 ",,"307,000 ",,"305,000 ",,"206,000 ",,"343,000 ",,,,,,,,,,,,,,,
,,Q2,,"259,000 ",,"310,000 ",,"307,000 ",,"209,000 ",,"345,000 ",,,,,,,,,,,,,,,
,,Q3,,"258,000 ",,"324,000 ",,"321,000 ",,"212,000 ",,"363,000 ",,,,,,,,,,,,,,,
,,Q4,,"275,000 ",,"308,000 ",,"304,000 ",,"202,000 ",,"345,000 ",,,,,,,,,,,,,,,
,2011,Q1,,"257,000 ",,"305,000 ",,"300,000 ",,"199,000 ",,"345,000 ",,,,,,,,,,,,,,,
,,Q2,,"290,000 ",,"293,000 ",,"293,000 ",,"204,000 ",,"331,000 ",,,,,,,,,,,,,,,
,,Q3,,"318,000 ",,"313,000 ",,"313,000 ",,"211,000 ",,"354,000 ",,,,,,,,,,,,,,,
,,Q4,,"298,000 ",,"298,000 ",,"299,000 ",,"204,000 ",,"338,000 ",,,,,,,,,,,,,,,
,2012,Q1,,"302,000 ",,"288,000 ",,"290,000 ",,"202,000 ",,"336,000 ",,,,,,,,,,,,,,,
,,Q2,,"305,000 ",,"301,000 ",,"303,000 ",,"213,000 ",,"338,000 ",,,,,,,,,,,,,,,
,,Q3,,"314,000 ",,"312,000 ",,"314,000 ",,"213,000 ",,"357,000 ",,,,,,,,,,,,,,,
,,Q4,,"320,000 ",,"302,000 ",,"305,000 ",,"208,000 ",,"349,000 ",,,,,,,,,,,,,,,
,2013,Q1,,"301,000 ",,"291,000 ",,"293,000 ",,"205,000 ",,"339,000 ",,,,,,,,,,,,,,,
,,Q2,,"341,000 ",,"296,000 ",,"299,000 ",,"212,000 ",,"350,000 ",,,,,,,,,,,,,,,
,,Q3,,"305,000 ",,"317,000 ",,"316,000 ",,"221,000 ",,"364,000 ",,,,,,,,,,,,,,,
,,Q4,,"325,000 ",,"310,000 ",,"311,000 ",,"220,000 ",,"359,000 ",,,,,,,,,,,,,,,
,2014,Q1,,"370,000 ",,"314,000 ",,"316,000 ",,"219,000 ",,"368,000 ",,,,,,,,,,,,,,,
,,Q2,,"379,000 ",,"323,000 ",,"327,000 ",,"229,000 ",,"381,000 ",,,,,,,,,,,,,,,
,,Q3,,"351,000 ",,"344,000 ",,"344,000 ",,"240,000 ",,"400,000 ",,,,,,,,,,,,,,,
,,Q4,,"343,000 ",,"333,000 ",,"333,000 ",,"235,000 ",,"391,000 ",,,,,,,,,,,,,,,
,2015,Q1,,"338,000 ",,"334,000 ",,"334,000 ",,"238,000 ",,"394,000 ",,,,,,,,,,,,,,,
,,Q2,,"373,000 ",,"343,000 ",,"347,000 ",,"248,000 ",,"409,000 ",,,,,,,,,,,,,,,
,,Q3,,"362,000 ",,"373,000 ",,"372,000 ",,"250,000 ",,"439,000 ",,,,,,,,,,,,,,,
,,Q4,,"366,000 ",,"372,000 ",,"371,000 ",,"257,000 ",,"440,000 ",,,,,,,,,,,,,,,
,2016,Q1,,"364,000 ",,"383,000 ",,"381,000 ",,"258,000 ",,"453,000 ",,,,,,,,,,,,,,,
,,Q2,,"363,000 ",,"357,000 ",,"357,000 ",,"262,000 ",,"437,000 ",,,,,,,,,,,,,,,
,,Q3,,"354,000 ",,"384,000 ",,"381,000 ",,"268,000 ",,"465,000 ",,,,,,,,,,,,,,,
,,Q4,,"402,000 ",,"377,000 ",,"380,000 ",,"270,000 ",,"463,000 ",,,,,,,,,,,,,,,
,2017,Q1,,"371,000 ",,"371,000 ",,"371,000 ",,"270,000 ",,"444,000 ",,,,,,,,,,,,,,,
,,Q2,,"385,000 ",,"377,000 ",,"379,000 ",,"277,000 ",,"453,000 ",,,,,,,,,,,,,,,
,,Q3,,"376,000 ",,"392,000 ",,"390,000 ",,"278,000 ",,"470,000 ",,,,,,,,,,,,,,,
,,Q4,,"377,000 ",,"378,000 ",,"378,000 ",,"276,000 ",,"453,000 ",,,,,,,,,,,,,,,
,2018,Q1,,"371,000 ",,"381,000 ",,"380,000 ",,"277,000 ",,"460,000 ",,,,,,,,,,,,,,,
,,Q2,,"395,000 ",,"374,000 ",,"378,000 ",,"283,000 ",,"458,000 ",,,,,,,,,,,,,,,
,,Q3,,"376,000 ",,"393,000 ",,"391,000 ",,"283,000 ",,"473,000 ",,,,,,,,,,,,,,,
,,Q4,,"382,000 ",,"378,000 ",,"379,000 ",,"284,000 ",,"456,000 ",,,,,,,,,,,,,,,
,2019,Q1,,"367,000 ",,"371,000 ",,"370,000 ",,"272,000 ",,"453,000 ",,,,,,,,,,,,,,,
,,Q2,,"379,000 ",,"376,000 ",,"376,000 ",,"282,000 ",,"460,000 ",,,,,,,,,,,,,,,
,,Q3,,"373,000 ",,"394,000 ",,"391,000 ",,"284,000 ",,"474,000 ",,,,,,,,,,,,,,,
,,Q4,,"379,000 ",,"388,000 ",,"386,000 ",,"284,000 ",,"469,000 ",,,,,,,,,,,,,,,
,2020,Q1,,"374,000 ",,"384,000 ",,"382,000 ",,"279,000 ",,"465,000 ",,,,,,,,,,,,,,,
,,Q2,,"378,000 ",,"377,000 ",,"377,000 ",,"279,000 ",,"466,000 ",,,,,,,,,,,,,,,
